id,name,year,glottocode,map_name_full,note
1,Acaxee,traditional,cahi1243,Native Languages and Language Families of North America,
2,Achumawi,traditional,achu1247,Native Languages and Language Families of North America,
3,Acoma,traditional,west2632,Native Languages and Language Families of North America,
4,Adai,traditional,adai1235,Native Languages and Language Families of North America,
5,Ahtna,traditional,ahte1237,Native Languages and Language Families of North America,
6,Alabama,traditional,alab1237,Native Languages and Language Families of North America,
7,Aleut,traditional,aleu1260,Native Languages and Language Families of North America,
8,Algonquin,traditional,algo1255,Native Languages and Language Families of North America,
9,Alsea,traditional,alse1251,Native Languages and Language Families of North America,
10,Apalachee,traditional,apal1237,Native Languages and Language Families of North America,
11,Applegate,traditional,gali1261,Native Languages and Language Families of North America,
12,Aranama,traditional,aran1265,Native Languages and Language Families of North America,
13,Arapaho,traditional,arap1274,Native Languages and Language Families of North America,
14,Arikara,traditional,arik1262,Native Languages and Language Families of North America,
15,Assiniboine,traditional,assi1247,Native Languages and Language Families of North America,
16,Atakapa,traditional,atak1252,Native Languages and Language Families of North America,
17,Atikamekw,traditional,atik1240,Native Languages and Language Families of North America,
18,Babine,traditional,babi1235,Native Languages and Language Families of North America,
19,Bannock,traditional,bann1248,Native Languages and Language Families of North America,
20,Barbareño,traditional,barb1263,Native Languages and Language Families of North America,
21,Bearlake,traditional,bear1241,Native Languages and Language Families of North America,
22,Beaver,traditional,beav1236,Native Languages and Language Families of North America,
23,Bella Coola,traditional,bell1243,Native Languages and Language Families of North America,
24,Beothuk,traditional,beot1247,Native Languages and Language Families of North America,
25,Biloxi,traditional,bilo1248,Native Languages and Language Families of North America,
26,Blackfoot,traditional,siks1238,Native Languages and Language Families of North America,
27,Buena Vista Yokuts,traditional,buen1244,Native Languages and Language Families of North America,
28,Caddo,traditional,cadd1256,Native Languages and Language Families of North America,
29,Cadegomeño,traditional,coch1272,Native Languages and Language Families of North America,
30,Cahto,traditional,kato1244,Native Languages and Language Families of North America,
31,Cahuilla,traditional,cahu1264,Native Languages and Language Families of North America,
